AgeMonths,IntakeHour,OutcomeHour,AgeAtOutcomeMonths,Breed_Freq,Color_Freq,Animal Type_dog,Sex upon Intake_intact male,Sex upon Intake_neutered male,Sex upon Intake_spayed female,Sex upon Intake_unknown,Intake Type_euthanasia request,Intake Type_owner surrender,Intake Type_public assist,Intake Type_stray,Intake Type_wildlife,Intake Condition_agonal,Intake Condition_behavior,Intake Condition_congenital,Intake Condition_feral,Intake Condition_injured,Intake Condition_med attn,Intake Condition_med urgent,Intake Condition_medical,Intake Condition_neonatal,Intake Condition_neurologic,Intake Condition_normal,Intake Condition_nursing,Intake Condition_other,Intake Condition_parvo,Intake Condition_pregnant,Intake Condition_sick,Intake Condition_space,Intake Condition_unknown,IntakeWeekday_Monday,IntakeWeekday_Saturday,IntakeWeekday_Sunday,IntakeWeekday_Thursday,IntakeWeekday_Tuesday,IntakeWeekday_Wednesday,OutcomeWeekday_Monday,OutcomeWeekday_Saturday,OutcomeWeekday_Sunday,OutcomeWeekday_Thursday,OutcomeWeekday_Tuesday,OutcomeWeekday_Wednesday,True,Pred_RF,Pred_LGB,TrueName,PredName_RF,PredName_LGB
24.0,16,18,24.0,0.0005847584947416717,0.021015320672562232,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0,3,0,adoption,return to owner,adoption
36.0,21,15,37.0,0.054355551157372006,0.028590192250600503,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,0,3,3,adoption,return to owner,return to owner
11.0,12,17,11.0,0.00259092994593233,0.021429149761148646,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,0,3,3,adoption,return to owner,return to owner
1.0,15,16,2.0,0.14435438164038253,0.06934336119182778,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,4,0,0,transfer,adoption,adoption
12.0,10,12,12.0,0.04404580908084961,0.008600448014969817,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,4,3,3,transfer,return to owner,return to owner
6.0,15,13,7.0,0.0003958365195174393,0.10453682629074193,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,4,0,0,transfer,adoption,adoption
24.0,10,18,25.0,0.054355551157372006,0.02701584245706523,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,4,0,0,transfer,adoption,adoption
24.0,13,17,24.0,0.07260001619331216,0.08703005658662973,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,3,0,0,return to owner,adoption,adoption
1.0,18,12,2.0,0.07260001619331216,0.028590192250600503,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,0,2,4,adoption,euthanasia,transfer
12.0,11,11,12.0,0.006918142807020701,0.027393686407513697,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,4,3,3,transfer,return to owner,return to owner
